Classe;Número do RIP;UF;Município;Endereço;Bairro;Conceituação;Tipo Imóvel;Situação da Utilização;Proprietário Oficial;Regime de Utilização;CEP DO IMOVEL;VALOR DO M2 DO TERRENO;VALOR DO M2 DE CONSTRUCAO
DOMINIAL;7107000021212;SP;SAO PAULO;R GEN SOCRATES 333 LT 32 REMANESCENTE CEP: 03632000;PENHA FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107000001025;SP;SAO PAULO;R BITTENCOURT RODRIGUES 335 TEERENOS NUMEROS 335 A 375 CEP: 01017000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1017000;3113.172093023256;1904.832558139535
DOMINIAL;7107000014275;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 705 706 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010008740;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJ 131 ED CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262
DOMINIAL;7107010000765;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1601 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000014518;SP;SAO PAULO;R GENERAL SOCRATES S/N LOTE 45 B CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000008380;SP;SAO PAULO;R GENERAL CARNEIRO 115 PAV 10 EDIF BANCO CONTINENTAL CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000026362;SP;SAO PAULO;R GENERAL CARNEIRO 31 TERRENO CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000022880;SP;SAO PAULO;R BOA VISTA 162 2 SUB SOLO ED BANDEIRANTES CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107010007344;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1403 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000024580;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1801 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010008073;SP;SAO PAULO;R GENERAL SOCRATES 349 349-A -PARTE DO LOTE 34 CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107000017533;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1401 1402 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000003907;SP;SAO PAULO;R CORONEL RODOVALHO 290 PARTE DO LOTE 2 CEP: 03632000;P FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632000;1233.9272727272728;1228.2863636363636
DOMINIAL;7107010006100;SP;SAO PAULO;R GENERAL CARNEIRO 115 15 PAVTO EDIF VISTA ALEGRE CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107010005210;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1003 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
DOMINIAL;7107010010728;SP;SAO PAULO;R GENERAL CARNEIRO 27 LOJA N. 4 CEP: 01015000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015000;11492.64705882353;1918.8088235294117
DOMINIAL;7107000003230;SP;SAO PAULO;R GENERAL SOCRATES 413 LOTE 38 C CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010009207;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJUNTO 11-ED CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262
DOMINIAL;7107000011500;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1301 1302 1303 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107000012221;SP;SAO PAULO;R QUINZE DE NOVEMBRO 184 CJ 1506 - COND DAS BANDEIRAS CEP: 01013000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1013000;5651.013986013986;2270.7062937062938
DOMINIAL;7107010009126;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJUNTO 101-ED CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262
DOMINIAL;7107000027687;SP;SAO PAULO;R GENERAL SOCRATES 253 LOTE 24C CEP: 03632040;PENHA DE FRANCA;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;3632040;1114.9737704918032;1332.8524590163934
DOMINIAL;7107010009398;SP;SAO PAULO;PC PADRE MANUEL DA NOBREGA 21 CONJUNTO 12-ED CLAUDIO MONTEIRO SOARES CEP: 01015010;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1015010;8328.393442622952;2098.901639344262
DOMINIAL;7107010005805;SP;SAO PAULO;R BOA VISTA 128 UNIDADE AUTONOMA 1009 CEP: 01014000;CENTRO;NACIONAL INTERIOR;TERRENO;EM USO;União (Adm. Pub. Fed. direta);AFORAMENTO;1014000;5668.282091917591;2298.4960380348653
